"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"315","174105",2861,0,1,1,0,0,0,0,0,2,-0.0467
"316","174106",2876,206584,1,0,0,1,3,0,0,5,-0.0419
"317","174107",3950,33705,1,1,1,0,1,2,0,5,-0.0306
"318","174203",2971,301181,2,1,1,0,1,1,0,5,-0.0428
"319","174204",3916,198261,3,2,0,0,0,0,0,5,-0.0364
"320","174205",4828,78536340,4,1,0,0,7,1,0,13,-0.0268
"321","174206",2103,840210,8,1,2,0,3,1,1,14,-0.0135
"322","174207",3260,0,1,0,0,0,0,0,0,1,-0.0077
"323","175103",7024,404093,3,1,2,0,3,1,0,8,-0.0264
"324","175104",6230,16125754,11,4,3,3,5,0,1,24,-0.0354
"325","175105",4541,538334,2,1,3,2,4,1,0,10,-0.0355
"326","175106",3007,0,1,0,0,0,0,0,0,1,-0.0447
"327","175201",6307,682437,2,0,1,1,3,0,0,6,-0.038
"328","175202",3193,76761,2,3,0,0,2,1,0,8,-0.0358
"329","176100",2266,648453,1,1,1,0,1,2,0,5,-0.0366
"330","176200",5571,138,4,0,0,0,1,1,0,6,-0.035
"331","177101",4104,21071083,6,1,3,0,8,0,0,15,-0.0033
"332","177103",3967,0,0,0,2,0,2,0,0,2,0.013
"333","177104",3351,185649,2,0,2,0,5,2,1,10,-0.0067
"334","177201",4039,892897,0,0,1,0,1,1,0,2,-0.0106
"335","177202",3299,29523,0,0,0,0,1,0,0,1,-0.0124
"336","177302",2419,7195427,3,1,1,1,1,0,0,6,-0.02
"337","177303",4732,1584042,16,0,1,0,3,1,1,21,-0.0055
"338","177304",3434,14615519,2,7,2,1,2,2,0,14,4e-04
"339","177403",3281,0,2,1,0,0,0,0,0,3,-0.0274
"340","177404",2778,0,0,0,0,0,0,0,0,0,-0.0184
"341","177405",4602,0,1,0,0,1,0,0,0,2,-0.0238
"342","177406",4130,0,2,0,2,0,2,0,0,4,-0.0073
"343","177501",4141,79885,3,0,0,0,2,1,0,6,-0.0131
"344","177503",3403,473485,1,0,4,1,4,3,0,9,-0.0355
"345","177504",3856,12740,2,0,1,0,2,1,0,5,-0.025
"346","177505",4412,33531,2,0,2,0,2,2,0,6,-0.0324
"347","177604",2062,0,0,0,0,0,1,0,0,1,-0.023
"348","177605",2700,42176,2,0,0,0,1,0,0,3,-0.0288
"349","177606",3762,39644,3,0,1,0,1,0,1,5,-0.0208
"350","177607",4065,362306,0,0,3,0,3,1,0,4,-0.0128
"351","177608",5585,5032875,3,3,3,0,5,2,0,13,-0.016
"352","177609",1966,0,0,0,1,0,3,0,0,3,-0.0375
